               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.066635,             0.15442,            0.043887,             0.37692,              0.2612,             0.18951,            0.094658,            0.062656,            0.082595,             0.03401,            0.006436,            0.006436,            0.006436
                  38,            0.065869,             0.15403,            0.043453,             0.32253,             0.24928,              0.1877,            0.092789,            0.062483,            0.082742,            0.033851,            0.006337,            0.006337,            0.006337
                  39,             0.06565,             0.15459,            0.043507,             0.32957,             0.25663,             0.19259,            0.094592,            0.062266,            0.082355,            0.033234,            0.006238,            0.006238,            0.006238
                  40,            0.066024,             0.15399,            0.043395,             0.37202,             0.26149,              0.1971,            0.098157,            0.062203,            0.082386,            0.033231,            0.006139,            0.006139,            0.006139
                  41,            0.066066,             0.15555,            0.043573,             0.35162,             0.26277,              0.1996,             0.10049,            0.062221,            0.081986,            0.033076,             0.00604,             0.00604,             0.00604
                  42,            0.065849,              0.1538,            0.043418,             0.34191,             0.27009,             0.20094,             0.10229,            0.062035,             0.08207,            0.032978,            0.005941,            0.005941,            0.005941
                  43,            0.065717,             0.15498,            0.043293,             0.34496,             0.27192,             0.20746,             0.10518,             0.06176,            0.082117,            0.032757,            0.005842,            0.005842,            0.005842
                  44,            0.065938,             0.15609,             0.04305,             0.35566,             0.27626,             0.20891,             0.10707,            0.061675,            0.082027,            0.032784,            0.005743,            0.005743,            0.005743
                  45,            0.065754,             0.15473,            0.042978,             0.37299,             0.27239,             0.20901,             0.10646,            0.061648,            0.081776,            0.032327,            0.005644,            0.005644,            0.005644
                  46,            0.065577,             0.15369,            0.042889,             0.35143,             0.28167,             0.21055,             0.10911,            0.061508,            0.081957,            0.032297,            0.005545,            0.005545,            0.005545
                  47,            0.065134,             0.15308,            0.042659,             0.36134,             0.28316,              0.2144,             0.11132,            0.061393,            0.081816,            0.032245,            0.005446,            0.005446,            0.005446
                  48,            0.064878,             0.15292,            0.042365,              0.3593,              0.2862,             0.21509,             0.11214,            0.061172,            0.081628,            0.032168,            0.005347,            0.005347,            0.005347
                  49,            0.065463,             0.15262,            0.042385,             0.34342,             0.28447,             0.21294,             0.11086,             0.06104,             0.08164,            0.032234,            0.005248,            0.005248,            0.005248
                  50,            0.064872,             0.15363,            0.042269,             0.34726,             0.28636,             0.21494,             0.11227,            0.061053,            0.081579,            0.032274,            0.005149,            0.005149,            0.005149
                  51,            0.064982,             0.15243,             0.04223,             0.35253,             0.29193,             0.21828,             0.11377,            0.060918,            0.081455,            0.032023,             0.00505,             0.00505,             0.00505
                  52,             0.06438,             0.15211,            0.042467,             0.35249,             0.28861,             0.21864,             0.11507,            0.060859,            0.081362,            0.031831,            0.004951,            0.004951,            0.004951
                  53,            0.064638,             0.15314,            0.042213,             0.36412,             0.28603,             0.22046,             0.11678,            0.060739,            0.081243,            0.031722,            0.004852,            0.004852,            0.004852
                  54,            0.064553,             0.15373,            0.041913,             0.36247,             0.28509,             0.22296,             0.11855,            0.060561,            0.081243,            0.031616,            0.004753,            0.004753,            0.004753
                  55,            0.064275,             0.15235,            0.041807,             0.36002,             0.28911,             0.22379,             0.11845,            0.060532,            0.081109,            0.031529,            0.004654,            0.004654,            0.004654
                  56,            0.064119,             0.15269,            0.041836,             0.37044,             0.28713,             0.22843,              0.1208,            0.060442,            0.081077,            0.031385,            0.004555,            0.004555,            0.004555
                  57,            0.063768,             0.15133,            0.041474,             0.37083,             0.28747,             0.22916,             0.12221,            0.060376,            0.081048,            0.031382,            0.004456,            0.004456,            0.004456
                  58,            0.064152,             0.15142,            0.041079,             0.37273,             0.29061,             0.23027,             0.12327,            0.060296,             0.08095,            0.031301,            0.004357,            0.004357,            0.004357
                  59,            0.063775,             0.15255,            0.041382,             0.37813,             0.28869,             0.23124,             0.12393,            0.060176,            0.080939,            0.031199,            0.004258,            0.004258,            0.004258
                  60,            0.063767,             0.15266,            0.041091,             0.37606,             0.29613,             0.23263,             0.12478,            0.060099,            0.080879,            0.031178,            0.004159,            0.004159,            0.004159
                  61,            0.064051,             0.15069,            0.041317,             0.38028,             0.29769,              0.2335,             0.12556,            0.060016,            0.080823,            0.031121,             0.00406,             0.00406,             0.00406
                  62,            0.063615,             0.15125,            0.040698,             0.38107,             0.29783,             0.23422,             0.12649,            0.059931,            0.080749,            0.031104,            0.003961,            0.003961,            0.003961
                  63,            0.063396,             0.15167,            0.040911,             0.37338,             0.29778,             0.23586,             0.12757,            0.059857,            0.080672,            0.030974,            0.003862,            0.003862,            0.003862
                  64,            0.063464,             0.15095,            0.040873,             0.37456,             0.29929,               0.236,             0.12744,            0.059789,            0.080649,            0.030912,            0.003763,            0.003763,            0.003763
